판매일자,제품코드,제품명,판매수량,제품단가,판매금액,지점명
2025-11-21,P0002,카페라떼,3,5200,15600,광주광역시
2025-11-24,P0005,플랫화이트,15,5600,84000,광주광역시
2025-11-08,P0003,카푸치노,7,4800,33600,광주광역시
2025-11-22,P0009,콜드브루,5,7000,35000,광주광역시
2025-11-19,P0007,바닐라라떼,1,5800,5800,광주광역시
2025-11-01,P0002,카페라떼,1,5200,5200,광주광역시
2025-11-08,P0009,콜드브루,0,7000,0,광주광역시
2025-11-01,P0009,콜드브루,10,7000,70000,광주광역시
2025-11-23,GJ100,광주떡라떼,5,9800,49000,광주광역시
2025-11-14,P0004,에스프레소,7,3000,21000,광주광역시
2025-11-19,P0005,플랫화이트,-2,5600,-11200,광주광역시
2025-11-25,P0003,카푸치노,17,4800,81600,광주광역시
2025-11-11,P0005,플랫화이트,9,5600,50400,광주광역시
2025-11-07,P0006,아포가토,2,7500,15000,광주광역시
2025-11-03,P0007,바닐라라떼,1,5800,5800,광주광역시
2025-11-12,P0006,아포가토,1,7500,7500,광주광역시
2025-11-09,P0001,아메리카노,2,4500,9000,광주광역시
2025-11-18,P0002,카페라떼,4,5200,20800,광주광역시
2025-11-03,P0009,콜드브루,4,7000,28000,광주광역시
2025-11-27,GJ100,광주떡라떼,2,9800,19600,광주광역시
2025-11-19,P0004,에스프레소,5,3000,15000,광주광역시
2025-11-02,GJ100,광주떡라떼,1,9800,9800,광주광역시
2025-11-25,P0005,플랫화이트,2,5600,11200,광주광역시
2025-11-28,P0004,에스프레소,3,3000,9000,광주광역시
2025-11-13,P0005,플랫화이트,4,5600,22400,광주광역시
2025-11-21,P0006,아포가토,8,7500,60000,광주광역시
2025-11-12,P0006,아포가토,1,7500,7500,광주광역시
2025-11-22,P0005,플랫화이트,4,5600,22400,광주광역시
2025-11-20,GJ100,광주떡라떼,5,9800,49000,광주광역시
2025-11-18,P0004,에스프레소,0,3000,0,광주광역시
2025-11-15,P0007,바닐라라떼,5,5800,29000,광주광역시
2025-11-30,GJ100,광주떡라떼,1,9800,9800,광주광역시
