판매일자,제품코드,제품명,판매수량,제품단가,판매금액,지점명
2025-11-02,DG100,대구핫팩커피,0,9200,0,대구광역시
2025-11-27,P0001,아메리카노,6,4500,27000,대구광역시
2025-11-30,P0004,에스프레소,3,3000,9000,대구광역시
2025-11-14,P0008,카라멜마키아토,4,6500,26000,대구광역시
2025-11-07,P0007,바닐라라떼,10,5800,58000,대구광역시
2025-11-06,P0007,바닐라라떼,2,5800,11600,대구광역시
2025-11-13,P0005,플랫화이트,3,5600,16800,대구광역시
2025-11-10,P0007,바닐라라떼,8,5800,46400,대구광역시
2025-11-22,P0008,카라멜마키아토,2,6500,13000,대구광역시
2025-11-07,P0005,플랫화이트,0,5600,0,대구광역시
2025-11-02,P0010,모카,2,6200,12400,대구광역시
2025-11-02,P0006,아포가토,1,7500,7500,대구광역시
2025-11-02,P0010,모카,13,6200,80600,대구광역시
2025-11-17,P0009,콜드브루,9,7000,63000,대구광역시
2025-11-02,P0009,콜드브루,5,7000,35000,대구광역시
2025-11-28,P0003,카푸치노,10,4800,48000,대구광역시
2025-11-20,P0002,카페라떼,9,5200,46800,대구광역시
2025-11-13,P0002,카페라떼,1,5200,5200,대구광역시
2025-11-08,P0010,모카,10,6200,62000,대구광역시
2025-11-02,P0010,모카,5,6200,31000,대구광역시
2025-11-14,DG100,대구핫팩커피,9,9200,82800,대구광역시
2025-11-19,P0009,콜드브루,10,7000,70000,대구광역시
2025-11-30,P0005,플랫화이트,3,5600,16800,대구광역시
2025-11-22,P0006,아포가토,1,7500,7500,대구광역시
2025-11-09,P0007,바닐라라떼,2,5800,11600,대구광역시
2025-11-22,DG100,대구핫팩커피,4,9200,36800,대구광역시
2025-11-15,P0006,아포가토,9,7500,67500,대구광역시
2025-11-01,P0008,카라멜마키아토,10,6500,65000,대구광역시
2025-11-04,P0002,카페라떼,-4,5200,-20800,대구광역시
2025-11-07,P0009,콜드브루,4,7000,28000,대구광역시
2025-11-05,P0006,아포가토,3,7500,22500,대구광역시
2025-11-29,P0004,에스프레소,2,3000,6000,대구광역시
2025-11-10,P0003,카푸치노,1,4800,4800,대구광역시
2025-11-27,P0009,콜드브루,3,7000,21000,대구광역시
2025-11-20,DG100,대구핫팩커피,14,9200,128800,대구광역시
2025-11-01,DG100,대구핫팩커피,3,9200,27600,대구광역시
2025-11-10,DG100,대구핫팩커피,4,9200,36800,대구광역시
2025-11-29,P0003,카푸치노,7,4800,33600,대구광역시
2025-11-04,P0002,카페라떼,3,5200,15600,대구광역시
2025-11-05,P0005,플랫화이트,17,5600,95200,대구광역시
2025-11-20,P0004,에스프레소,16,3000,48000,대구광역시
2025-11-07,DG100,대구핫팩커피,2,9200,18400,대구광역시
2025-11-17,P0008,카라멜마키아토,4,6500,26000,대구광역시
2025-11-29,P0001,아메리카노,2,4500,9000,대구광역시
2025-11-21,P0007,바닐라라떼,2,5800,11600,대구광역시
2025-11-02,P0001,아메리카노,0,4500,0,대구광역시
2025-11-25,P0003,카푸치노,5,4800,24000,대구광역시
2025-11-06,P0008,카라멜마키아토,4,6500,26000,대구광역시
2025-11-23,P0007,바닐라라떼,0,5800,0,대구광역시
2025-11-01,P0002,카페라떼,2,5200,10400,대구광역시
2025-11-29,P0003,카푸치노,10,4800,48000,대구광역시
2025-11-02,P0006,아포가토,2,7500,15000,대구광역시
2025-11-18,P0003,카푸치노,1,4800,4800,대구광역시
2025-11-05,P0001,아메리카노,4,4500,18000,대구광역시
2025-11-12,P0001,아메리카노,19,4500,85500,대구광역시
2025-11-07,DG100,대구핫팩커피,2,9200,18400,대구광역시
2025-11-22,P0002,카페라떼,6,5200,31200,대구광역시
2025-11-25,P0009,콜드브루,8,7000,56000,대구광역시
2025-11-20,P0003,카푸치노,2,4800,9600,대구광역시
2025-11-28,P0003,카푸치노,7,4800,33600,대구광역시
2025-11-29,P0007,바닐라라떼,3,5800,17400,대구광역시
2025-11-06,P0006,아포가토,5,7500,37500,대구광역시
2025-11-26,DG100,대구핫팩커피,5,9200,46000,대구광역시
2025-11-09,P0003,카푸치노,5,4800,24000,대구광역시
2025-11-13,P0001,아메리카노,0,4500,0,대구광역시
2025-11-08,P0004,에스프레소,9,3000,27000,대구광역시
2025-11-12,P0005,플랫화이트,3,5600,16800,대구광역시
2025-11-08,P0001,아메리카노,1,4500,4500,대구광역시
2025-11-13,P0006,아포가토,0,7500,0,대구광역시
2025-11-28,P0002,카페라떼,5,5200,26000,대구광역시
2025-11-12,DG100,대구핫팩커피,6,9200,55200,대구광역시
2025-11-13,DG100,대구핫팩커피,-2,9200,-18400,대구광역시
2025-11-11,P0001,아메리카노,4,4500,18000,대구광역시
2025-11-29,P0005,플랫화이트,2,5600,11200,대구광역시
2025-11-19,P0005,플랫화이트,6,5600,33600,대구광역시
2025-11-04,P0010,모카,1,6200,6200,대구광역시
2025-11-12,P0006,아포가토,7,7500,52500,대구광역시
2025-11-20,P0009,콜드브루,3,7000,21000,대구광역시
2025-11-13,P0010,모카,14,6200,86800,대구광역시
2025-11-09,P0001,아메리카노,1,4500,4500,대구광역시
2025-11-01,P0009,콜드브루,3,7000,21000,대구광역시
2025-11-22,DG100,대구핫팩커피,1,9200,9200,대구광역시
2025-11-12,P0007,바닐라라떼,12,5800,69600,대구광역시
2025-11-22,P0006,아포가토,10,7500,75000,대구광역시
2025-11-22,P0002,카페라떼,2,5200,10400,대구광역시
2025-11-17,P0005,플랫화이트,6,5600,33600,대구광역시
