판매일자,제품코드,제품명,판매수량,제품단가,판매금액,지점명
2025-11-08,P0004,에스프레소,6,3000,18000,대전광역시
2025-11-01,P0001,아메리카노,0,4500,0,대전광역시
2025-11-16,P0010,모카,1,6200,6200,대전광역시
2025-11-15,P0007,바닐라라떼,10,5800,58000,대전광역시
2025-11-07,P0007,바닐라라떼,5,5800,29000,대전광역시
2025-11-13,P0004,에스프레소,-4,3000,-12000,대전광역시
2025-11-21,P0001,아메리카노,1,4500,4500,대전광역시
2025-11-25,P0007,바닐라라떼,6,5800,34800,대전광역시
2025-11-06,P0009,콜드브루,-5,7000,-35000,대전광역시
2025-11-02,P0009,콜드브루,1,7000,7000,대전광역시
2025-11-30,P0002,카페라떼,5,5200,26000,대전광역시
2025-11-05,P0008,카라멜마키아토,7,6500,45500,대전광역시
2025-11-18,P0010,모카,6,6200,37200,대전광역시
2025-11-25,P0008,카라멜마키아토,2,6500,13000,대전광역시
2025-11-14,P0009,콜드브루,7,7000,49000,대전광역시
2025-11-29,P0003,카푸치노,2,4800,9600,대전광역시
2025-11-15,P0005,플랫화이트,3,5600,16800,대전광역시
2025-11-27,DJ100,대전밤라떼,8,8800,70400,대전광역시
2025-11-25,P0009,콜드브루,6,7000,42000,대전광역시
2025-11-21,P0004,에스프레소,9,3000,27000,대전광역시
2025-11-15,P0002,카페라떼,6,5200,31200,대전광역시
2025-11-08,P0005,플랫화이트,5,5600,28000,대전광역시
2025-11-11,P0009,콜드브루,1,7000,7000,대전광역시
2025-11-05,P0003,카푸치노,3,4800,14400,대전광역시
2025-11-13,P0003,카푸치노,2,4800,9600,대전광역시
2025-11-03,P0007,바닐라라떼,2,5800,11600,대전광역시
2025-11-11,P0009,콜드브루,18,7000,126000,대전광역시
2025-11-14,P0001,아메리카노,3,4500,13500,대전광역시
2025-11-27,P0007,바닐라라떼,10,5800,58000,대전광역시
2025-11-29,P0010,모카,5,6200,31000,대전광역시
2025-11-28,P0010,모카,8,6200,49600,대전광역시
2025-11-16,P0001,아메리카노,4,4500,18000,대전광역시
2025-11-10,P0007,바닐라라떼,5,5800,29000,대전광역시
2025-11-18,P0009,콜드브루,4,7000,28000,대전광역시
2025-11-29,P0004,에스프레소,1,3000,3000,대전광역시
2025-11-08,P0005,플랫화이트,7,5600,39200,대전광역시
2025-11-16,P0001,아메리카노,2,4500,9000,대전광역시
2025-11-11,DJ100,대전밤라떼,-1,8800,-8800,대전광역시
2025-11-24,P0003,카푸치노,6,4800,28800,대전광역시
2025-11-30,P0003,카푸치노,1,4800,4800,대전광역시
2025-11-01,P0007,바닐라라떼,14,5800,81200,대전광역시
2025-11-19,DJ100,대전밤라떼,15,8800,132000,대전광역시
2025-11-03,DJ100,대전밤라떼,11,8800,96800,대전광역시
2025-11-05,P0008,카라멜마키아토,3,6500,19500,대전광역시
2025-11-02,P0005,플랫화이트,-3,5600,-16800,대전광역시
2025-11-11,P0004,에스프레소,13,3000,39000,대전광역시
2025-11-11,P0006,아포가토,4,7500,30000,대전광역시
2025-11-09,P0007,바닐라라떼,17,5800,98600,대전광역시
2025-11-27,P0002,카페라떼,16,5200,83200,대전광역시
2025-11-01,P0009,콜드브루,9,7000,63000,대전광역시
2025-11-12,P0004,에스프레소,2,3000,6000,대전광역시
2025-11-25,DJ100,대전밤라떼,3,8800,26400,대전광역시
2025-11-25,P0001,아메리카노,9,4500,40500,대전광역시
2025-11-07,P0001,아메리카노,3,4500,13500,대전광역시
2025-11-08,P0003,카푸치노,1,4800,4800,대전광역시
2025-11-22,P0002,카페라떼,5,5200,26000,대전광역시
2025-11-07,P0008,카라멜마키아토,13,6500,84500,대전광역시
2025-11-25,P0006,아포가토,7,7500,52500,대전광역시
2025-11-20,P0010,모카,5,6200,31000,대전광역시
2025-11-25,P0003,카푸치노,1,4800,4800,대전광역시
2025-11-04,P0010,모카,5,6200,31000,대전광역시
2025-11-30,P0005,플랫화이트,19,5600,106400,대전광역시
2025-11-22,P0007,바닐라라떼,1,5800,5800,대전광역시
2025-11-23,P0004,에스프레소,4,3000,12000,대전광역시
2025-11-19,DJ100,대전밤라떼,10,8800,88000,대전광역시
2025-11-04,P0005,플랫화이트,7,5600,39200,대전광역시
2025-11-26,P0002,카페라떼,7,5200,36400,대전광역시
2025-11-26,P0001,아메리카노,7,4500,31500,대전광역시
2025-11-18,P0007,바닐라라떼,3,5800,17400,대전광역시
2025-11-03,P0009,콜드브루,2,7000,14000,대전광역시
2025-11-01,P0007,바닐라라떼,9,5800,52200,대전광역시
2025-11-04,P0007,바닐라라떼,9,5800,52200,대전광역시
2025-11-21,P0008,카라멜마키아토,10,6500,65000,대전광역시
2025-11-14,P0003,카푸치노,11,4800,52800,대전광역시
2025-11-21,P0005,플랫화이트,4,5600,22400,대전광역시
2025-11-25,P0008,카라멜마키아토,4,6500,26000,대전광역시
2025-11-14,P0010,모카,8,6200,49600,대전광역시
2025-11-11,P0004,에스프레소,6,3000,18000,대전광역시
2025-11-09,P0008,카라멜마키아토,7,6500,45500,대전광역시
2025-11-25,P0008,카라멜마키아토,8,6500,52000,대전광역시
2025-11-20,DJ100,대전밤라떼,10,8800,88000,대전광역시
2025-11-11,P0001,아메리카노,3,4500,13500,대전광역시
2025-11-28,P0006,아포가토,3,7500,22500,대전광역시
2025-11-16,P0004,에스프레소,1,3000,3000,대전광역시
2025-11-26,P0005,플랫화이트,5,5600,28000,대전광역시
2025-11-09,P0010,모카,0,6200,0,대전광역시
2025-11-18,P0001,아메리카노,4,4500,18000,대전광역시
2025-11-07,P0002,카페라떼,5,5200,26000,대전광역시
2025-11-24,P0007,바닐라라떼,2,5800,11600,대전광역시
2025-11-18,P0004,에스프레소,5,3000,15000,대전광역시
2025-11-21,P0008,카라멜마키아토,0,6500,0,대전광역시
2025-11-26,P0001,아메리카노,0,4500,0,대전광역시
2025-11-10,P0004,에스프레소,9,3000,27000,대전광역시
2025-11-23,P0004,에스프레소,3,3000,9000,대전광역시
2025-11-22,P0010,모카,1,6200,6200,대전광역시
2025-11-16,P0009,콜드브루,4,7000,28000,대전광역시
2025-11-12,P0007,바닐라라떼,8,5800,46400,대전광역시
2025-11-11,P0006,아포가토,2,7500,15000,대전광역시
2025-11-09,P0005,플랫화이트,5,5600,28000,대전광역시
2025-11-08,P0002,카페라떼,0,5200,0,대전광역시
