판매일자,제품코드,제품명,판매수량,제품단가,판매금액,지점명
2025-11-11,P0002,카페라떼,0,5200,0,부산광역시
2025-11-25,P0003,카푸치노,5,4800,24000,부산광역시
2025-11-07,P0008,카라멜마키아토,5,6500,32500,부산광역시
2025-11-24,P0010,모카,6,6200,37200,부산광역시
2025-11-20,P0005,플랫화이트,7,5600,39200,부산광역시
2025-11-27,P0004,에스프레소,18,3000,54000,부산광역시
2025-11-08,P0006,아포가토,4,7500,30000,부산광역시
2025-11-10,P0001,아메리카노,3,4500,13500,부산광역시
2025-11-05,P0005,플랫화이트,8,5600,44800,부산광역시
2025-11-02,P0009,콜드브루,2,7000,14000,부산광역시
2025-11-23,P0003,카푸치노,4,4800,19200,부산광역시
2025-11-04,P0001,아메리카노,0,4500,0,부산광역시
2025-11-10,P0008,카라멜마키아토,-1,6500,-6500,부산광역시
2025-11-15,P0006,아포가토,16,7500,120000,부산광역시
2025-11-02,P0005,플랫화이트,9,5600,50400,부산광역시
2025-11-04,P0002,카페라떼,7,5200,36400,부산광역시
2025-11-16,P0002,카페라떼,3,5200,15600,부산광역시
2025-11-21,BS100,부산씨앗라떼,1,9400,9400,부산광역시
2025-11-05,P0003,카푸치노,1,4800,4800,부산광역시
2025-11-10,P0002,카페라떼,2,5200,10400,부산광역시
2025-11-04,P0009,콜드브루,5,7000,35000,부산광역시
2025-11-20,P0010,모카,7,6200,43400,부산광역시
2025-11-25,P0009,콜드브루,6,7000,42000,부산광역시
2025-11-15,P0008,카라멜마키아토,2,6500,13000,부산광역시
2025-11-28,P0010,모카,16,6200,99200,부산광역시
2025-11-10,P0010,모카,7,6200,43400,부산광역시
2025-11-20,P0002,카페라떼,5,5200,26000,부산광역시
2025-11-21,P0004,에스프레소,5,3000,15000,부산광역시
2025-11-22,P0002,카페라떼,4,5200,20800,부산광역시
2025-11-08,P0003,카푸치노,2,4800,9600,부산광역시
2025-11-03,P0003,카푸치노,3,4800,14400,부산광역시
2025-11-14,P0008,카라멜마키아토,8,6500,52000,부산광역시
2025-11-16,P0005,플랫화이트,-3,5600,-16800,부산광역시
2025-11-08,P0005,플랫화이트,1,5600,5600,부산광역시
2025-11-23,P0008,카라멜마키아토,0,6500,0,부산광역시
2025-11-22,P0004,에스프레소,0,3000,0,부산광역시
2025-11-26,BS100,부산씨앗라떼,10,9400,94000,부산광역시
2025-11-22,P0004,에스프레소,7,3000,21000,부산광역시
2025-11-04,P0009,콜드브루,4,7000,28000,부산광역시
2025-11-21,P0003,카푸치노,1,4800,4800,부산광역시
2025-11-27,P0003,카푸치노,4,4800,19200,부산광역시
2025-11-02,P0003,카푸치노,4,4800,19200,부산광역시
2025-11-20,P0010,모카,1,6200,6200,부산광역시
2025-11-15,P0002,카페라떼,4,5200,20800,부산광역시
2025-11-23,P0005,플랫화이트,3,5600,16800,부산광역시
2025-11-09,P0009,콜드브루,5,7000,35000,부산광역시
2025-11-16,P0008,카라멜마키아토,5,6500,32500,부산광역시
2025-11-20,P0001,아메리카노,0,4500,0,부산광역시
2025-11-24,P0006,아포가토,3,7500,22500,부산광역시
2025-11-09,P0001,아메리카노,5,4500,22500,부산광역시
2025-11-08,BS100,부산씨앗라떼,4,9400,37600,부산광역시
2025-11-19,P0001,아메리카노,10,4500,45000,부산광역시
2025-11-19,P0001,아메리카노,6,4500,27000,부산광역시
2025-11-16,P0009,콜드브루,1,7000,7000,부산광역시
2025-11-30,P0005,플랫화이트,0,5600,0,부산광역시
2025-11-19,P0007,바닐라라떼,6,5800,34800,부산광역시
2025-11-03,P0008,카라멜마키아토,-1,6500,-6500,부산광역시
2025-11-14,P0006,아포가토,5,7500,37500,부산광역시
2025-11-22,P0002,카페라떼,14,5200,72800,부산광역시
2025-11-11,P0007,바닐라라떼,5,5800,29000,부산광역시
2025-11-10,BS100,부산씨앗라떼,3,9400,28200,부산광역시
2025-11-27,P0009,콜드브루,6,7000,42000,부산광역시
2025-11-15,P0002,카페라떼,4,5200,20800,부산광역시
2025-11-09,P0006,아포가토,5,7500,37500,부산광역시
2025-11-25,P0007,바닐라라떼,14,5800,81200,부산광역시
2025-11-27,P0001,아메리카노,3,4500,13500,부산광역시
2025-11-15,P0007,바닐라라떼,16,5800,92800,부산광역시
2025-11-07,P0009,콜드브루,10,7000,70000,부산광역시
2025-11-20,P0008,카라멜마키아토,1,6500,6500,부산광역시
2025-11-25,P0001,아메리카노,0,4500,0,부산광역시
2025-11-09,P0009,콜드브루,1,7000,7000,부산광역시
2025-11-30,P0005,플랫화이트,-2,5600,-11200,부산광역시
2025-11-29,P0008,카라멜마키아토,1,6500,6500,부산광역시
2025-11-01,BS100,부산씨앗라떼,6,9400,56400,부산광역시
2025-11-26,P0004,에스프레소,0,3000,0,부산광역시
2025-11-10,P0009,콜드브루,3,7000,21000,부산광역시
2025-11-18,P0007,바닐라라떼,9,5800,52200,부산광역시
2025-11-08,P0002,카페라떼,-1,5200,-5200,부산광역시
2025-11-04,BS100,부산씨앗라떼,9,9400,84600,부산광역시
2025-11-16,P0005,플랫화이트,2,5600,11200,부산광역시
2025-11-23,P0005,플랫화이트,1,5600,5600,부산광역시
