판매일자,제품코드,제품명,판매수량,제품단가,판매금액,지점명
2025-11-16,P0001,아메리카노,1,4500,4500,서울특별시
2025-11-17,P0010,모카,10,6200,62000,서울특별시
2025-11-28,P0002,카페라떼,4,5200,20800,서울특별시
2025-11-04,P0009,콜드브루,9,7000,63000,서울특별시
2025-11-01,P0003,카푸치노,3,4800,14400,서울특별시
2025-11-28,SL100,한강블렌드,10,10500,105000,서울특별시
2025-11-03,P0008,카라멜마키아토,3,6500,19500,서울특별시
2025-11-11,P0010,모카,-4,6200,-24800,서울특별시
2025-11-21,P0002,카페라떼,10,5200,52000,서울특별시
2025-11-28,SL100,한강블렌드,1,10500,10500,서울특별시
2025-11-13,P0006,아포가토,3,7500,22500,서울특별시
2025-11-28,P0009,콜드브루,15,7000,105000,서울특별시
2025-11-20,P0002,카페라떼,15,5200,78000,서울특별시
2025-11-21,SL100,한강블렌드,5,10500,52500,서울특별시
2025-11-08,P0002,카페라떼,5,5200,26000,서울특별시
2025-11-04,SL100,한강블렌드,4,10500,42000,서울특별시
2025-11-15,P0003,카푸치노,2,4800,9600,서울특별시
2025-11-29,P0001,아메리카노,3,4500,13500,서울특별시
2025-11-11,P0001,아메리카노,6,4500,27000,서울특별시
2025-11-12,P0006,아포가토,8,7500,60000,서울특별시
2025-11-05,P0004,에스프레소,8,3000,24000,서울특별시
2025-11-14,P0010,모카,8,6200,49600,서울특별시
2025-11-06,P0003,카푸치노,1,4800,4800,서울특별시
2025-11-20,P0007,바닐라라떼,4,5800,23200,서울특별시
2025-11-16,P0010,모카,0,6200,0,서울특별시
2025-11-08,P0008,카라멜마키아토,5,6500,32500,서울특별시
2025-11-15,P0005,플랫화이트,4,5600,22400,서울특별시
2025-11-29,P0008,카라멜마키아토,10,6500,65000,서울특별시
2025-11-22,P0009,콜드브루,3,7000,21000,서울특별시
2025-11-03,P0008,카라멜마키아토,1,6500,6500,서울특별시
2025-11-19,P0005,플랫화이트,1,5600,5600,서울특별시
2025-11-23,P0005,플랫화이트,8,5600,44800,서울특별시
2025-11-28,P0005,플랫화이트,5,5600,28000,서울특별시
2025-11-13,P0008,카라멜마키아토,1,6500,6500,서울특별시
2025-11-08,P0007,바닐라라떼,0,5800,0,서울특별시
2025-11-12,P0010,모카,7,6200,43400,서울특별시
2025-11-23,P0005,플랫화이트,0,5600,0,서울특별시
2025-11-27,SL100,한강블렌드,9,10500,94500,서울특별시
2025-11-09,P0001,아메리카노,7,4500,31500,서울특별시
2025-11-28,SL100,한강블렌드,0,10500,0,서울특별시
2025-11-30,P0010,모카,0,6200,0,서울특별시
2025-11-27,P0005,플랫화이트,19,5600,106400,서울특별시
2025-11-20,P0006,아포가토,3,7500,22500,서울특별시
2025-11-21,P0004,에스프레소,3,3000,9000,서울특별시
2025-11-22,SL100,한강블렌드,9,10500,94500,서울특별시
2025-11-21,P0002,카페라떼,15,5200,78000,서울특별시
2025-11-10,P0008,카라멜마키아토,19,6500,123500,서울특별시
2025-11-19,P0006,아포가토,8,7500,60000,서울특별시
2025-11-03,P0005,플랫화이트,3,5600,16800,서울특별시
2025-11-24,P0007,바닐라라떼,0,5800,0,서울특별시
2025-11-07,P0003,카푸치노,8,4800,38400,서울특별시
2025-11-29,P0006,아포가토,5,7500,37500,서울특별시
2025-11-17,P0005,플랫화이트,4,5600,22400,서울특별시
2025-11-09,P0008,카라멜마키아토,10,6500,65000,서울특별시
2025-11-24,P0006,아포가토,1,7500,7500,서울특별시
2025-11-15,P0002,카페라떼,4,5200,20800,서울특별시
2025-11-25,P0004,에스프레소,-3,3000,-9000,서울특별시
2025-11-28,P0009,콜드브루,4,7000,28000,서울특별시
2025-11-03,P0007,바닐라라떼,0,5800,0,서울특별시
