판매일자,제품코드,제품명,판매수량,제품단가,판매금액,지점명
2025-11-15,P0006,아포가토,7,7500,52500,세종특별자치시
2025-11-19,P0002,카페라떼,5,5200,26000,세종특별자치시
2025-11-17,P0004,에스프레소,3,3000,9000,세종특별자치시
2025-11-24,SJ100,세종허브티,9,7600,68400,세종특별자치시
2025-11-10,P0008,카라멜마키아토,6,6500,39000,세종특별자치시
2025-11-02,P0008,카라멜마키아토,1,6500,6500,세종특별자치시
2025-11-14,SJ100,세종허브티,11,7600,83600,세종특별자치시
2025-11-16,P0008,카라멜마키아토,9,6500,58500,세종특별자치시
2025-11-29,P0002,카페라떼,15,5200,78000,세종특별자치시
2025-11-20,P0003,카푸치노,7,4800,33600,세종특별자치시
2025-11-05,P0005,플랫화이트,5,5600,28000,세종특별자치시
2025-11-18,P0006,아포가토,4,7500,30000,세종특별자치시
2025-11-20,P0009,콜드브루,13,7000,91000,세종특별자치시
2025-11-15,P0009,콜드브루,10,7000,70000,세종특별자치시
2025-11-14,P0002,카페라떼,0,5200,0,세종특별자치시
2025-11-28,SJ100,세종허브티,-1,7600,-7600,세종특별자치시
2025-11-24,P0004,에스프레소,3,3000,9000,세종특별자치시
2025-11-15,P0004,에스프레소,9,3000,27000,세종특별자치시
2025-11-11,P0008,카라멜마키아토,19,6500,123500,세종특별자치시
2025-11-14,P0002,카페라떼,1,5200,5200,세종특별자치시
2025-11-14,P0006,아포가토,5,7500,37500,세종특별자치시
2025-11-12,P0003,카푸치노,3,4800,14400,세종특별자치시
2025-11-03,P0002,카페라떼,17,5200,88400,세종특별자치시
2025-11-03,P0007,바닐라라떼,9,5800,52200,세종특별자치시
2025-11-24,P0006,아포가토,9,7500,67500,세종특별자치시
2025-11-18,P0001,아메리카노,4,4500,18000,세종특별자치시
2025-11-18,P0009,콜드브루,3,7000,21000,세종특별자치시
2025-11-22,P0002,카페라떼,2,5200,10400,세종특별자치시
2025-11-12,SJ100,세종허브티,0,7600,0,세종특별자치시
2025-11-28,P0001,아메리카노,10,4500,45000,세종특별자치시
2025-11-20,P0005,플랫화이트,9,5600,50400,세종특별자치시
2025-11-04,P0010,모카,20,6200,124000,세종특별자치시
2025-11-07,P0003,카푸치노,20,4800,96000,세종특별자치시
2025-11-08,P0002,카페라떼,5,5200,26000,세종특별자치시
2025-11-28,P0009,콜드브루,8,7000,56000,세종특별자치시
2025-11-04,P0005,플랫화이트,14,5600,78400,세종특별자치시
2025-11-08,P0007,바닐라라떼,9,5800,52200,세종특별자치시
2025-11-25,P0010,모카,2,6200,12400,세종특별자치시
2025-11-01,P0010,모카,4,6200,24800,세종특별자치시
2025-11-01,P0003,카푸치노,1,4800,4800,세종특별자치시
2025-11-23,P0005,플랫화이트,15,5600,84000,세종특별자치시
2025-11-12,P0001,아메리카노,5,4500,22500,세종특별자치시
2025-11-28,P0003,카푸치노,2,4800,9600,세종특별자치시
2025-11-22,P0007,바닐라라떼,6,5800,34800,세종특별자치시
2025-11-05,SJ100,세종허브티,5,7600,38000,세종특별자치시
2025-11-03,P0009,콜드브루,3,7000,21000,세종특별자치시
2025-11-13,P0007,바닐라라떼,1,5800,5800,세종특별자치시
2025-11-11,P0003,카푸치노,6,4800,28800,세종특별자치시
2025-11-10,P0006,아포가토,4,7500,30000,세종특별자치시
2025-11-20,P0002,카페라떼,8,5200,41600,세종특별자치시
2025-11-05,P0003,카푸치노,4,4800,19200,세종특별자치시
2025-11-22,P0002,카페라떼,9,5200,46800,세종특별자치시
2025-11-15,SJ100,세종허브티,5,7600,38000,세종특별자치시
2025-11-16,P0010,모카,5,6200,31000,세종특별자치시
2025-11-14,P0005,플랫화이트,10,5600,56000,세종특별자치시
2025-11-25,P0009,콜드브루,3,7000,21000,세종특별자치시
2025-11-12,P0007,바닐라라떼,1,5800,5800,세종특별자치시
2025-11-10,SJ100,세종허브티,0,7600,0,세종특별자치시
2025-11-16,P0009,콜드브루,8,7000,56000,세종특별자치시
2025-11-02,P0004,에스프레소,5,3000,15000,세종특별자치시
2025-11-20,P0001,아메리카노,7,4500,31500,세종특별자치시
2025-11-07,P0005,플랫화이트,2,5600,11200,세종특별자치시
