판매일자,제품코드,제품명,판매수량,제품단가,판매금액,지점명
2025-11-12,P0005,플랫화이트,1,5600,5600,수원시
2025-11-21,P0002,카페라떼,2,5200,10400,수원시
2025-11-17,P0007,바닐라라떼,1,5800,5800,수원시
2025-11-19,P0009,콜드브루,0,7000,0,수원시
2025-11-15,P0010,모카,1,6200,6200,수원시
2025-11-11,P0010,모카,4,6200,24800,수원시
2025-11-17,P0003,카푸치노,2,4800,9600,수원시
2025-11-15,P0002,카페라떼,3,5200,15600,수원시
2025-11-23,P0002,카페라떼,4,5200,20800,수원시
2025-11-21,P0003,카푸치노,6,4800,28800,수원시
2025-11-08,P0008,카라멜마키아토,0,6500,0,수원시
2025-11-17,P0009,콜드브루,8,7000,56000,수원시
2025-11-06,P0006,아포가토,5,7500,37500,수원시
2025-11-30,P0005,플랫화이트,0,5600,0,수원시
2025-11-14,P0006,아포가토,10,7500,75000,수원시
2025-11-02,SW100,수원왕갈비라떼,12,12000,144000,수원시
2025-11-03,P0006,아포가토,0,7500,0,수원시
2025-11-18,SW100,수원왕갈비라떼,2,12000,24000,수원시
2025-11-10,P0005,플랫화이트,9,5600,50400,수원시
2025-11-28,P0003,카푸치노,8,4800,38400,수원시
2025-11-03,P0010,모카,1,6200,6200,수원시
2025-11-30,P0006,아포가토,2,7500,15000,수원시
2025-11-21,SW100,수원왕갈비라떼,3,12000,36000,수원시
2025-11-05,P0010,모카,4,6200,24800,수원시
2025-11-10,P0009,콜드브루,5,7000,35000,수원시
2025-11-21,P0006,아포가토,3,7500,22500,수원시
2025-11-22,SW100,수원왕갈비라떼,4,12000,48000,수원시
2025-11-03,SW100,수원왕갈비라떼,8,12000,96000,수원시
2025-11-17,P0006,아포가토,0,7500,0,수원시
2025-11-12,P0005,플랫화이트,2,5600,11200,수원시
2025-11-07,P0006,아포가토,7,7500,52500,수원시
2025-11-07,P0004,에스프레소,10,3000,30000,수원시
2025-11-05,P0002,카페라떼,4,5200,20800,수원시
2025-11-28,P0002,카페라떼,5,5200,26000,수원시
2025-11-25,P0009,콜드브루,1,7000,7000,수원시
2025-11-02,SW100,수원왕갈비라떼,4,12000,48000,수원시
2025-11-29,P0010,모카,5,6200,31000,수원시
