판매일자,제품코드,제품명,판매수량,제품단가,판매금액,지점명
2025-11-13,P0009,콜드브루,5,7000,35000,울산광역시
2025-11-09,P0001,아메리카노,0,4500,0,울산광역시
2025-11-10,P0006,아포가토,3,7500,22500,울산광역시
2025-11-28,US100,울산포항혼합,1,9000,9000,울산광역시
2025-11-09,P0002,카페라떼,0,5200,0,울산광역시
2025-11-14,P0007,바닐라라떼,19,5800,110200,울산광역시
2025-11-29,P0007,바닐라라떼,3,5800,17400,울산광역시
2025-11-06,P0008,카라멜마키아토,9,6500,58500,울산광역시
2025-11-12,P0009,콜드브루,2,7000,14000,울산광역시
2025-11-26,P0002,카페라떼,6,5200,31200,울산광역시
2025-11-03,P0007,바닐라라떼,8,5800,46400,울산광역시
2025-11-27,P0003,카푸치노,5,4800,24000,울산광역시
2025-11-10,P0006,아포가토,4,7500,30000,울산광역시
2025-11-03,P0006,아포가토,3,7500,22500,울산광역시
2025-11-10,P0008,카라멜마키아토,3,6500,19500,울산광역시
2025-11-23,P0007,바닐라라떼,13,5800,75400,울산광역시
2025-11-23,P0008,카라멜마키아토,9,6500,58500,울산광역시
2025-11-15,P0001,아메리카노,17,4500,76500,울산광역시
2025-11-20,P0007,바닐라라떼,1,5800,5800,울산광역시
2025-11-21,P0001,아메리카노,7,4500,31500,울산광역시
2025-11-22,US100,울산포항혼합,14,9000,126000,울산광역시
2025-11-12,P0009,콜드브루,1,7000,7000,울산광역시
2025-11-01,P0003,카푸치노,0,4800,0,울산광역시
2025-11-22,P0008,카라멜마키아토,7,6500,45500,울산광역시
2025-11-05,P0002,카페라떼,5,5200,26000,울산광역시
2025-11-25,US100,울산포항혼합,9,9000,81000,울산광역시
2025-11-12,P0007,바닐라라떼,1,5800,5800,울산광역시
2025-11-02,P0010,모카,8,6200,49600,울산광역시
2025-11-22,P0008,카라멜마키아토,2,6500,13000,울산광역시
2025-11-12,P0008,카라멜마키아토,1,6500,6500,울산광역시
