판매일자,제품코드,제품명,판매수량,제품단가,판매금액,지점명
2025-11-01,P0002,카페라떼,7,5200,36400,인천광역시
2025-11-17,P0008,카라멜마키아토,1,6500,6500,인천광역시
2025-11-07,P0010,모카,5,6200,31000,인천광역시
2025-11-02,P0001,아메리카노,5,4500,22500,인천광역시
2025-11-16,P0010,모카,4,6200,24800,인천광역시
2025-11-10,P0009,콜드브루,7,7000,49000,인천광역시
2025-11-28,P0002,카페라떼,13,5200,67600,인천광역시
2025-11-05,P0005,플랫화이트,12,5600,67200,인천광역시
2025-11-25,P0007,바닐라라떼,4,5800,23200,인천광역시
2025-11-02,P0007,바닐라라떼,1,5800,5800,인천광역시
2025-11-19,P0009,콜드브루,19,7000,133000,인천광역시
2025-11-12,P0009,콜드브루,9,7000,63000,인천광역시
2025-11-03,P0007,바닐라라떼,1,5800,5800,인천광역시
2025-11-15,P0009,콜드브루,12,7000,84000,인천광역시
2025-11-27,P0010,모카,10,6200,62000,인천광역시
2025-11-05,P0002,카페라떼,4,5200,20800,인천광역시
2025-11-12,P0006,아포가토,5,7500,37500,인천광역시
2025-11-12,P0003,카푸치노,3,4800,14400,인천광역시
2025-11-20,P0009,콜드브루,0,7000,0,인천광역시
2025-11-17,P0001,아메리카노,3,4500,13500,인천광역시
2025-11-02,P0003,카푸치노,9,4800,43200,인천광역시
2025-11-26,P0008,카라멜마키아토,-5,6500,-32500,인천광역시
2025-11-15,P0003,카푸치노,3,4800,14400,인천광역시
2025-11-29,P0009,콜드브루,3,7000,21000,인천광역시
2025-11-11,P0010,모카,5,6200,31000,인천광역시
2025-11-06,P0007,바닐라라떼,12,5800,69600,인천광역시
2025-11-19,P0006,아포가토,3,7500,22500,인천광역시
2025-11-27,P0009,콜드브루,3,7000,21000,인천광역시
2025-11-16,P0010,모카,7,6200,43400,인천광역시
2025-11-16,P0001,아메리카노,4,4500,18000,인천광역시
2025-11-11,IC100,인천바다라떼,2,9600,19200,인천광역시
2025-11-14,P0010,모카,4,6200,24800,인천광역시
2025-11-26,IC100,인천바다라떼,1,9600,9600,인천광역시
2025-11-20,P0008,카라멜마키아토,1,6500,6500,인천광역시
2025-11-21,P0010,모카,4,6200,24800,인천광역시
2025-11-08,P0001,아메리카노,4,4500,18000,인천광역시
2025-11-16,P0003,카푸치노,11,4800,52800,인천광역시
2025-11-21,P0010,모카,3,6200,18600,인천광역시
2025-11-05,IC100,인천바다라떼,5,9600,48000,인천광역시
2025-11-02,P0010,모카,5,6200,31000,인천광역시
2025-11-07,P0001,아메리카노,-3,4500,-13500,인천광역시
2025-11-11,P0007,바닐라라떼,6,5800,34800,인천광역시
2025-11-14,P0004,에스프레소,1,3000,3000,인천광역시
2025-11-17,P0010,모카,16,6200,99200,인천광역시
2025-11-28,P0001,아메리카노,1,4500,4500,인천광역시
2025-11-17,P0004,에스프레소,3,3000,9000,인천광역시
2025-11-11,IC100,인천바다라떼,0,9600,0,인천광역시
2025-11-17,P0007,바닐라라떼,20,5800,116000,인천광역시
2025-11-06,P0008,카라멜마키아토,4,6500,26000,인천광역시
2025-11-11,P0009,콜드브루,5,7000,35000,인천광역시
2025-11-22,IC100,인천바다라떼,0,9600,0,인천광역시
2025-11-20,P0008,카라멜마키아토,8,6500,52000,인천광역시
2025-11-08,P0005,플랫화이트,2,5600,11200,인천광역시
2025-11-10,P0004,에스프레소,10,3000,30000,인천광역시
2025-11-25,P0005,플랫화이트,2,5600,11200,인천광역시
2025-11-23,P0008,카라멜마키아토,1,6500,6500,인천광역시
2025-11-16,P0006,아포가토,0,7500,0,인천광역시
2025-11-30,P0005,플랫화이트,4,5600,22400,인천광역시
2025-11-04,P0010,모카,5,6200,31000,인천광역시
2025-11-13,P0007,바닐라라떼,0,5800,0,인천광역시
2025-11-25,P0003,카푸치노,8,4800,38400,인천광역시
2025-11-02,P0005,플랫화이트,4,5600,22400,인천광역시
2025-11-12,P0008,카라멜마키아토,4,6500,26000,인천광역시
2025-11-24,P0008,카라멜마키아토,4,6500,26000,인천광역시
2025-11-07,P0009,콜드브루,3,7000,21000,인천광역시
2025-11-30,P0009,콜드브루,5,7000,35000,인천광역시
2025-11-05,P0002,카페라떼,1,5200,5200,인천광역시
2025-11-08,P0004,에스프레소,1,3000,3000,인천광역시
2025-11-22,P0009,콜드브루,10,7000,70000,인천광역시
2025-11-21,P0004,에스프레소,15,3000,45000,인천광역시
2025-11-04,P0007,바닐라라떼,3,5800,17400,인천광역시
2025-11-23,P0008,카라멜마키아토,2,6500,13000,인천광역시
2025-11-22,P0003,카푸치노,6,4800,28800,인천광역시
2025-11-18,P0003,카푸치노,3,4800,14400,인천광역시
2025-11-21,P0008,카라멜마키아토,-1,6500,-6500,인천광역시
2025-11-21,P0004,에스프레소,1,3000,3000,인천광역시
2025-11-11,P0005,플랫화이트,7,5600,39200,인천광역시
2025-11-30,P0002,카페라떼,6,5200,31200,인천광역시
2025-11-08,P0009,콜드브루,-1,7000,-7000,인천광역시
2025-11-30,P0003,카푸치노,2,4800,9600,인천광역시
2025-11-29,P0003,카푸치노,2,4800,9600,인천광역시
2025-11-27,P0007,바닐라라떼,6,5800,34800,인천광역시
2025-11-06,P0005,플랫화이트,-2,5600,-11200,인천광역시
2025-11-01,P0005,플랫화이트,1,5600,5600,인천광역시
2025-11-20,P0002,카페라떼,8,5200,41600,인천광역시
2025-11-10,P0008,카라멜마키아토,1,6500,6500,인천광역시
2025-11-17,P0008,카라멜마키아토,6,6500,39000,인천광역시
2025-11-28,P0009,콜드브루,2,7000,14000,인천광역시
2025-11-09,P0004,에스프레소,1,3000,3000,인천광역시
2025-11-11,P0003,카푸치노,2,4800,9600,인천광역시
2025-11-21,P0005,플랫화이트,7,5600,39200,인천광역시
2025-11-01,P0006,아포가토,10,7500,75000,인천광역시
2025-11-19,IC100,인천바다라떼,9,9600,86400,인천광역시
2025-11-06,P0010,모카,3,6200,18600,인천광역시
2025-11-27,P0007,바닐라라떼,6,5800,34800,인천광역시
2025-11-11,P0002,카페라떼,2,5200,10400,인천광역시
2025-11-22,P0002,카페라떼,2,5200,10400,인천광역시
2025-11-05,P0008,카라멜마키아토,10,6500,65000,인천광역시
2025-11-30,P0004,에스프레소,-3,3000,-9000,인천광역시
2025-11-09,P0007,바닐라라떼,0,5800,0,인천광역시
