사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2025-12,1호선,0150,서울역,2139266,2033765,285273,269301
2025-12,1호선,0151,시청,757526,761025,123162,121534
2025-12,1호선,0152,종각,1169643,1114545,185655,171213
2025-12,1호선,0153,종로3가,532846,469163,323524,295418
2025-12,1호선,0154,종로5가,498106,489492,257349,250684
2025-12,1호선,0155,동대문,268677,260411,135572,133695
2025-12,1호선,0156,신설동,315831,303373,127075,122587
2025-12,1호선,0157,제기동,237506,228264,260338,280931
2025-12,1호선,0158,청량리(서울시립대입구),444639,441089,301014,302847
2025-12,1호선,0159,동묘앞,159800,165315,151749,154303
2025-12,2호선,0201,시청,776522,707569,72809,64681
2025-12,2호선,0202,을지로입구,1583801,1615231,133059,124417
2025-12,2호선,0203,을지로3가,728968,729511,85225,85343
2025-12,2호선,0204,을지로4가,382908,379952,81434,80679
2025-12,2호선,0205,동대문역사문화공원(DDP),435023,515054,67464,74358
2025-12,2호선,0206,신당,383643,406379,98557,101115
2025-12,2호선,0207,상왕십리,376492,368773,73922,74682
2025-12,2호선,0208,왕십리(성동구청),463488,427821,61261,56615
2025-12,2호선,0209,한양대,344962,370603,15906,17294
2025-12,2호선,0210,뚝섬,711688,744323,72272,71937
2025-12,2호선,0211,성수,1715327,1839341,110207,110770
2025-12,2호선,0212,건대입구,1146662,1201189,108026,112317
2025-12,2호선,0213,구의(광진구청),749759,736055,132893,133642
2025-12,2호선,0214,강변(동서울터미널),758582,690840,124365,118310
2025-12,2호선,0215,잠실나루,350294,337564,99708,98672
2025-12,2호선,0216,잠실(송파구청),2570844,2520700,255953,245328
2025-12,2호선,0217,잠실새내,633605,625195,128352,127505
2025-12,2호선,0218,종합운동장,251004,276465,57781,60513
2025-12,2호선,0219,삼성(무역센터),1734254,1696150,145294,135573
2025-12,2호선,0220,선릉,1449962,1268619,260590,229004
2025-12,2호선,0221,역삼,1320249,1491414,155711,158757
2025-12,2호선,0222,강남,2354430,2331914,188170,164829
2025-12,2호선,0223,교대(법원.검찰청),755413,913328,175037,210019
2025-12,2호선,0224,서초,581170,560063,110299,111427
2025-12,2호선,0225,방배,437408,450108,86849,85668
2025-12,2호선,0226,사당,1121638,1248205,275361,261207
2025-12,2호선,0227,낙성대(강감찬),737576,706399,123794,125897
2025-12,2호선,0228,서울대입구(관악구청),1249968,1200142,197578,186331
2025-12,2호선,0229,봉천,589359,543952,167691,167176
2025-12,2호선,0230,신림,1520913,1483487,220738,221716
2025-12,2호선,0231,신대방,626153,592764,139542,140705
2025-12,2호선,0232,구로디지털단지,1504375,1484292,240595,239869
2025-12,2호선,0233,대림(구로구청),604793,615864,152139,158080
2025-12,2호선,0234,신도림,1282044,1240026,255430,239698
2025-12,2호선,0235,문래,610866,635935,97565,97328
2025-12,2호선,0236,영등포구청,588329,611747,120297,119780
2025-12,2호선,0237,당산,499331,568940,65991,72809
2025-12,2호선,0238,합정,958696,1056224,77764,79792
2025-12,2호선,0239,홍대입구,2326666,2506305,114074,110914
2025-12,2호선,0240,신촌,1079062,1091088,141665,140173
2025-12,2호선,0241,이대,477437,514498,54610,58558
2025-12,2호선,0242,아현,276334,258162,72298,71205
2025-12,2호선,0243,충정로(경기대입구),261004,282726,51525,51581
2025-12,2호선,0244,용답,73430,72920,18701,18455
2025-12,2호선,0245,신답,42160,48625,10326,10624
2025-12,2호선,0246,신설동,87083,84575,35866,38080
2025-12,2호선,0247,도림천,30624,31628,9937,10938
2025-12,2호선,0248,양천구청,149990,159434,58691,59453
2025-12,2호선,0249,신정네거리,234674,238313,82790,84556
2025-12,2호선,0250,용두(동대문구청),52739,50804,22915,24453
2025-12,3호선,0309,지축,191017,192132,39021,38417
2025-12,3호선,0310,구파발,538244,524205,151848,145121
2025-12,3호선,0311,연신내,875925,834583,290989,281694
2025-12,3호선,0312,불광,354968,373131,159919,176692
2025-12,3호선,0313,녹번,380360,344310,88656,87486
2025-12,3호선,0314,홍제,406550,383797,159242,156037
2025-12,3호선,0315,무악재,93762,89663,35155,37444
2025-12,3호선,0316,독립문,172962,181145,74939,75828
2025-12,3호선,0317,경복궁(정부서울청사),713570,725011,100445,95898
2025-12,3호선,0318,안국,690644,717788,115055,123228
2025-12,3호선,0319,종로3가,274380,310346,77847,88422
2025-12,3호선,0320,을지로3가,365850,350234,58153,53854
2025-12,3호선,0321,충무로,157,0,4,0
2025-12,3호선,0322,동대입구,303928,335941,46716,50983
2025-12,3호선,0323,약수,312274,308735,89369,84284
2025-12,3호선,0324,금호,192826,178987,58673,57508
2025-12,3호선,0325,옥수,213343,220179,67250,67620
2025-12,3호선,0326,압구정,840950,907930,156900,156358
2025-12,3호선,0327,신사,787471,824665,79605,77294
2025-12,3호선,0328,잠원,175527,167342,48387,46415
2025-12,3호선,0329,고속터미널,1461584,1404032,266459,246821
2025-12,3호선,0330,교대(법원.검찰청),421878,237155,104747,58070
2025-12,3호선,0331,남부터미널(예술의전당),831489,830988,146911,147268
2025-12,3호선,0332,양재(서초구청),976910,1038266,179002,180260
2025-12,3호선,0333,매봉,301391,292897,89350,84041
2025-12,3호선,0334,도곡,155349,155841,36259,34436
2025-12,3호선,0335,대치,284519,280754,79759,77776
2025-12,3호선,0336,학여울,65824,67831,22743,22086
2025-12,3호선,0337,대청,265377,245707,69466,67291
2025-12,3호선,0338,일원,268896,260401,78225,77783
2025-12,3호선,0339,수서,453621,451243,136190,131804
2025-12,3호선,0340,가락시장,204549,202096,91033,88473
2025-12,3호선,0341,경찰병원,175503,172881,51305,53283
2025-12,3호선,0342,오금,159208,141748,37873,35844
2025-12,4호선,0409,불암산,211656,176068,84689,83475
2025-12,4호선,0410,상계,453155,419649,147628,144972
2025-12,4호선,0411,노원,538630,618465,123029,121097
2025-12,4호선,0412,창동,595091,627617,257102,264859
2025-12,4호선,0413,쌍문,699028,638554,201958,199499
2025-12,4호선,0414,수유(강북구청),859364,863328,214081,215929
2025-12,4호선,0415,미아(서울사이버대학),362090,341394,133884,136543
2025-12,4호선,0416,미아사거리,612958,604929,205459,205307
2025-12,4호선,0417,길음,527707,525225,136388,135081
2025-12,4호선,0418,성신여대입구(돈암),629237,601912,103964,102380
2025-12,4호선,0419,한성대입구(삼선교),375732,361881,83203,81798
2025-12,4호선,0420,혜화,1108491,1104362,151248,147786
2025-12,4호선,0421,동대문,421561,444687,160537,157113
2025-12,4호선,0422,동대문역사문화공원(DDP),582701,504291,77152,68060
2025-12,4호선,0423,충무로,822215,853933,136281,138861
2025-12,4호선,0424,명동,1171722,1277143,106197,112202
2025-12,4호선,0425,회현(남대문시장),693480,736883,225474,228743
2025-12,4호선,0426,서울역,344268,682739,46616,68102
2025-12,4호선,0427,숙대입구(갈월),426680,418709,62478,58951
2025-12,4호선,0428,삼각지(전쟁기념관),207379,249560,27301,28902
2025-12,4호선,0429,신용산,651048,706742,67484,67844
2025-12,4호선,0430,이촌(국립중앙박물관),305223,324604,65639,68773
2025-12,4호선,0431,동작(현충원),41250,42917,12778,12942
2025-12,4호선,0432,총신대입구(이수),437326,477466,176087,185829
2025-12,4호선,0433,사당,724199,644632,120891,130880
2025-12,4호선,0434,남태령,35890,28865,8819,8060
2025-12,경부선,1001,서울역,345772,124752,22074,5726
2025-12,경부선,1002,남영,253929,268503,40359,41449
2025-12,경부선,1003,용산,1415751,1432779,158728,156030
2025-12,경부선,1004,노량진,265733,293468,56648,57278
2025-12,경부선,1005,대방,244648,284902,64871,68958
2025-12,경부선,1006,영등포,1069097,1086796,350356,350154
2025-12,경부선,1007,신도림,90242,97573,26472,32273
2025-12,경부선,1032,신길,211775,185304,50266,47578
2025-12,경부선,1701,구로,414856,428890,119212,116215
2025-12,경부선,1702,가산디지털단지,439212,517167,42635,48815
2025-12,경부선,1703,금천구청,236392,241587,88700,90913
2025-12,경부선,1704,석수,196677,178891,54999,51766
2025-12,경부선,1705,관악,155772,150879,62974,61286
2025-12,경부선,1706,안양,578027,559923,148361,153362
2025-12,경부선,1707,명학,210016,205989,49367,48129
2025-12,경부선,1708,금정,708660,725330,156507,158911
2025-12,경부선,1709,군포,156659,153408,41392,40408
2025-12,경부선,1710,의왕,226160,221937,50510,50294
2025-12,경부선,1711,성균관대,408736,397527,75433,75492
2025-12,경부선,1712,화서,317462,310054,57823,56428
2025-12,경부선,1713,수원,1102273,1167623,191566,195101
2025-12,경부선,1714,독산,410762,412858,75217,77122
2025-12,경부선,1715,세류,91233,83739,20117,19627
2025-12,경부선,1716,병점,405285,403438,81796,81396
2025-12,경부선,1717,세마,88278,83543,18420,17470
2025-12,경부선,1718,오산대,100326,91350,20353,19433
