사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2025-12,1호선,0150,서울역,"2,139,266","2,033,765","285,273","269,301",2026-01-03 11:12:43
2025-12,1호선,0151,시청,"757,526","761,025","123,162","121,534",2026-01-03 11:12:43
2025-12,1호선,0152,종각,"1,169,643","1,114,545","185,655","171,213",2026-01-03 11:12:43
2025-12,1호선,0153,종로3가,"532,846","469,163","323,524","295,418",2026-01-03 11:12:43
2025-12,1호선,0154,종로5가,"498,106","489,492","257,349","250,684",2026-01-03 11:12:43
2025-12,1호선,0155,동대문,"268,677","260,411","135,572","133,695",2026-01-03 11:12:43
2025-12,1호선,0156,신설동,"315,831","303,373","127,075","122,587",2026-01-03 11:12:43
2025-12,1호선,0157,제기동,"237,506","228,264","260,338","280,931",2026-01-03 11:12:43
2025-12,1호선,0158,청량리(서울시립대입구),"444,639","441,089","301,014","302,847",2026-01-03 11:12:43
2025-12,1호선,0159,동묘앞,"159,800","165,315","151,749","154,303",2026-01-03 11:12:43
2025-12,2호선,0201,시청,"776,522","707,569","72,809","64,681",2026-01-03 11:12:43
2025-12,2호선,0202,을지로입구,"1,583,801","1,615,231","133,059","124,417",2026-01-03 11:12:43
2025-12,2호선,0203,을지로3가,"728,968","729,511","85,225","85,343",2026-01-03 11:12:43
2025-12,2호선,0204,을지로4가,"382,908","379,952","81,434","80,679",2026-01-03 11:12:43
2025-12,2호선,0205,동대문역사문화공원(DDP),"435,023","515,054","67,464","74,358",2026-01-03 11:12:43
2025-12,2호선,0206,신당,"383,643","406,379","98,557","101,115",2026-01-03 11:12:43
2025-12,2호선,0207,상왕십리,"376,492","368,773","73,922","74,682",2026-01-03 11:12:43
2025-12,2호선,0208,왕십리(성동구청),"463,488","427,821","61,261","56,615",2026-01-03 11:12:43
2025-12,2호선,0209,한양대,"344,962","370,603","15,906","17,294",2026-01-03 11:12:43
2025-12,2호선,0210,뚝섬,"711,688","744,323","72,272","71,937",2026-01-03 11:12:43
2025-12,2호선,0211,성수,"1,715,327","1,839,341","110,207","110,770",2026-01-03 11:12:43
2025-12,2호선,0212,건대입구,"1,146,662","1,201,189","108,026","112,317",2026-01-03 11:12:43
2025-12,2호선,0213,구의(광진구청),"749,759","736,055","132,893","133,642",2026-01-03 11:12:43
2025-12,2호선,0214,강변(동서울터미널),"758,582","690,840","124,365","118,310",2026-01-03 11:12:43
2025-12,2호선,0215,잠실나루,"350,294","337,564","99,708","98,672",2026-01-03 11:12:43
2025-12,2호선,0216,잠실(송파구청),"2,570,844","2,520,700","255,953","245,328",2026-01-03 11:12:43
2025-12,2호선,0217,잠실새내,"633,605","625,195","128,352","127,505",2026-01-03 11:12:43
2025-12,2호선,0218,종합운동장,"251,004","276,465","57,781","60,513",2026-01-03 11:12:43
2025-12,2호선,0219,삼성(무역센터),"1,734,254","1,696,150","145,294","135,573",2026-01-03 11:12:43
2025-12,2호선,0220,선릉,"1,449,962","1,268,619","260,590","229,004",2026-01-03 11:12:43
2025-12,2호선,0221,역삼,"1,320,249","1,491,414","155,711","158,757",2026-01-03 11:12:43
2025-12,2호선,0222,강남,"2,354,430","2,331,914","188,170","164,829",2026-01-03 11:12:43
2025-12,2호선,0223,교대(법원.검찰청),"755,413","913,328","175,037","210,019",2026-01-03 11:12:43
2025-12,2호선,0224,서초,"581,170","560,063","110,299","111,427",2026-01-03 11:12:43
2025-12,2호선,0225,방배,"437,408","450,108","86,849","85,668",2026-01-03 11:12:43
2025-12,2호선,0226,사당,"1,121,638","1,248,205","275,361","261,207",2026-01-03 11:12:43
2025-12,2호선,0227,낙성대(강감찬),"737,576","706,399","123,794","125,897",2026-01-03 11:12:43
2025-12,2호선,0228,서울대입구(관악구청),"1,249,968","1,200,142","197,578","186,331",2026-01-03 11:12:43
2025-12,2호선,0229,봉천,"589,359","543,952","167,691","167,176",2026-01-03 11:12:43
2025-12,2호선,0230,신림,"1,520,913","1,483,487","220,738","221,716",2026-01-03 11:12:43
2025-12,2호선,0231,신대방,"626,153","592,764","139,542","140,705",2026-01-03 11:12:43
2025-12,2호선,0232,구로디지털단지,"1,504,375","1,484,292","240,595","239,869",2026-01-03 11:12:43
2025-12,2호선,0233,대림(구로구청),"604,793","615,864","152,139","158,080",2026-01-03 11:12:43
2025-12,2호선,0234,신도림,"1,282,044","1,240,026","255,430","239,698",2026-01-03 11:12:43
2025-12,2호선,0235,문래,"610,866","635,935","97,565","97,328",2026-01-03 11:12:43
2025-12,2호선,0236,영등포구청,"588,329","611,747","120,297","119,780",2026-01-03 11:12:43
2025-12,2호선,0237,당산,"499,331","568,940","65,991","72,809",2026-01-03 11:12:43
2025-12,2호선,0238,합정,"958,696","1,056,224","77,764","79,792",2026-01-03 11:12:43
2025-12,2호선,0239,홍대입구,"2,326,666","2,506,305","114,074","110,914",2026-01-03 11:12:43
2025-12,2호선,0240,신촌,"1,079,062","1,091,088","141,665","140,173",2026-01-03 11:12:43
2025-12,2호선,0241,이대,"477,437","514,498","54,610","58,558",2026-01-03 11:12:43
2025-12,2호선,0242,아현,"276,334","258,162","72,298","71,205",2026-01-03 11:12:43
2025-12,2호선,0243,충정로(경기대입구),"261,004","282,726","51,525","51,581",2026-01-03 11:12:43
2025-12,2호선,0244,용답,"73,430","72,920","18,701","18,455",2026-01-03 11:12:43
2025-12,2호선,0245,신답,"42,160","48,625","10,326","10,624",2026-01-03 11:12:43
2025-12,2호선,0246,신설동,"87,083","84,575","35,866","38,080",2026-01-03 11:12:43
