사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-12,1호선,0150,서울역,829,48,"10,627","10,422","31,795","58,948","99,643","130,828","170,570","253,207","127,186","185,173","113,947","110,123","125,751","107,625","143,232","119,575","133,630","117,354","119,770","109,010","149,404","128,983","172,856","140,799","249,802","168,686","265,749","196,927","151,510","137,539","112,192","103,616","118,623","100,154","82,642","74,756","39,799","37,655","4,828","9,807",154,"1,666",0,165,0,0,2026-01-03 11:12:47
2025-12,1호선,0151,시청,89,2,"1,959","5,209","3,748","27,353","7,217","77,591","10,066","208,709","13,143","103,282","17,299","54,625","24,669","53,639","30,052","47,228","34,775","46,077","45,131","38,786","59,924","36,736","74,046","39,939","108,214","46,286","172,840","38,248","75,278","20,210","73,850","13,483","67,961","10,930","43,082","7,627","14,688","5,115","2,494","1,309",163,175,0,0,0,0,2026-01-03 11:12:47
2025-12,1호선,0152,종각,122,2,"4,013","5,886","4,527","36,809","6,867","118,549","10,435","269,608","14,134","157,512","21,044","70,225","34,347","75,196","41,376","66,813","52,212","63,130","66,971","54,984","85,028","51,979","104,266","66,165","171,258","79,819","235,166","76,961","122,988","37,856","121,298","20,302","125,374","15,613","90,684","11,514","39,423","5,304","3,245","1,450",520,81,0,0,0,0,2026-01-03 11:12:47
2025-12,1호선,0153,종로3가,143,11,"4,024","4,051","4,279","13,155","7,318","26,855","10,019","63,515","14,900","62,402","22,420","56,079","34,195","73,492","47,174","72,687","50,877","61,536","63,855","57,676","74,120","52,162","80,432","53,237","91,311","51,931","94,442","45,621","64,607","23,821","59,359","14,693","59,815","11,937","45,678","9,320","20,735","7,531","6,225","2,714",442,153,0,2,0,0,2026-01-03 11:12:47
2025-12,1호선,0154,종로5가,65,6,"1,979","4,340","3,152","17,576","6,071","42,717","10,669","89,726","15,335","65,868","26,087","58,499","37,497","64,170","46,295","60,388","54,445","57,581","66,752","53,859","70,713","46,958","78,109","45,869","94,395","41,016","93,202","35,181","50,571","21,465","38,975","11,987","31,069","9,155","22,762","7,508","6,603","4,906",655,"1,317",54,84,0,0,0,0,2026-01-03 11:12:47
2025-12,1호선,0155,동대문,751,40,"11,118","2,124","9,228","6,145","15,091","10,765","22,960","18,277","22,687","22,139","20,655","23,832","21,693","29,265","25,352","29,338","27,763","28,590","30,861","27,386","32,225","27,010","33,665","26,495","30,488","26,074","26,648","26,061","19,872","23,270","17,523","17,540","15,582","16,673","12,065","17,226","6,424","11,463","1,491","3,803",107,590,0,0,0,0,2026-01-03 11:12:47
2025-12,1호선,0156,신설동,497,10,"8,212","2,324","9,958","8,677","22,112","24,112","33,500","53,831","22,864","33,735","21,652","21,630","23,359","20,154","25,092","19,651","26,395","21,678","25,732","20,465","27,743","22,978","33,151","24,720","44,283","28,058","53,324","32,900","21,574","24,250","15,527","18,427","13,475","18,284","9,668","16,260","4,217","10,277",550,"3,213",21,326,0,0,0,0,2026-01-03 11:12:47
2025-12,1호선,0157,제기동,360,13,"5,083","2,404","8,629","9,235","20,829","19,398","31,572","36,227","22,892","30,635","24,176","34,106","30,957","44,243","37,548","46,572","41,391","48,389","46,373","45,400","48,701","38,610","47,168","34,890","44,193","27,768","35,929","26,990","20,421","18,487","13,850","12,830","9,270","12,588","5,975","11,392","2,335","6,868",182,"2,011",10,139,0,0,0,0,2026-01-03 11:12:47
2025-12,1호선,0158,청량리(서울시립대입구),"1,030",59,"10,474","2,911","18,132","10,745","50,107","17,442","60,237","39,394","38,023","39,815","35,351","42,144","41,613","54,909","49,728","56,286","53,338","57,867","58,317","56,001","63,931","54,455","67,245","54,397","60,061","55,313","48,447","61,684","28,739","41,728","23,781","26,884","19,143","26,522","12,312","24,307","5,206","14,211",429,"6,004",9,858,0,0,0,0,2026-01-03 11:12:47
